"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2026,"Abilene Christian",47.469512195122,330,20.708545284893,354,30.9408341416101,171,41.6463414634146,40
2026,"Air Force",48.9004276114844,292,21.8854145535688,361,21.4285714285714,360,35.0641417226634,177
2026,"Akron",58.4623065401897,8,15.532191454004,106,33.5221907459868,78,29.0564153769346,330
2026,"Alabama",55.3842504743833,32,13.013470813238,4,31.8403908794788,132,37.1916508538899,127
2026,"Alabama A&M",49.22934648582,283,16.5233206942261,164,27.4529236868186,284,45.4377311960543,5
2026,"Alabama St.",47.1061093247588,335,18.2890254529816,287,31.891433418151,129,34.887459807074,185
2026,"Albany",51.3456937799043,182,18.5445423621964,299,32.680412371134,100,24.9401913875598,364
2026,"Alcorn St.",47.6609796367639,321,19.5479535736103,337,26.857654431513,302,31.810676940011,263
2026,"American",51.5317919075145,174,15.6475550695204,114,26.9080234833659,300,28.6705202312139,335
2026,"Appalachian St.",49.9098015634396,239,15.280025898349,81,32.1022727272727,121,39.1461214672279,79
2026,"Arizona",55.0507491541808,41,15.1553266968883,73,38.0701754385965,9,42.8709521507975,23
2026,"Arizona St.",51.1000523834468,190,17.0792543918466,211,29.8494242692648,205,39.4971189104243,68
2026,"Arkansas",56.2617702448211,23,12.2389059159863,1,32.5991189427313,103,36.6760828625235,141
2026,"Arkansas Pine Bluff",50.0290697674419,234,18.6919155134741,309,27.8892072588348,271,38.4302325581395,95
2026,"Arkansas St.",51.6684607104413,168,19.835573535169,345,38.2171226831421,7,39.1280947255113,80
2026,"Army",49.2793791574279,279,17.1902030410635,219,29.6,218,26.8292682926829,354
2026,"Auburn",52.3232323232323,130,14.6844792006082,49,37.5638841567291,12,44.6969696969697,8
2026,"Austin Peay",52.972027972028,109,15.3923702037153,94,29.7324083250743,214,37.6456876456876,115
2026,"BYU",54.6528105810109,51,15.3482205526815,90,34.5648604269294,59,34.1521020311762,206
2026,"Ball St.",47.0498783454988,336,16.2208123487475,152,27.1428571428571,293,31.6301703163017,267
2026,"Baylor",53.8339502908514,73,16.4472731695169,160,37.4528301886792,14,34.7964040190375,189
