"Season","TeamName","FG2Pct","RankFG2Pct","FG3Pct","RankFG3Pct","FTPct","RankFTPct","BlockPct","RankBlockPct","OppFG2Pct","RankOppFG2Pct","OppFG3Pct","RankOppFG3Pct","OppFTPct","RankOppFTPct","OppBlockPct","RankOppBlockPct","FG3Rate","RankFG3Rate","OppFG3Rate","RankOppFG3Rate","ARate","RankARate","OppARate","RankOppARate","StlRate","RankStlRate","OppStlRate","RankOppStlRate","DFP","NSTRate","RankNSTRate","OppNSTRate","RankOppNSTRate"
2026,"Abilene Christian",47.9128856624319,310,31.0408921933086,317,70.4245973645681,256,7.51953125,290,54.39453125,292,40.8675799086758,365,72.2506393861893,175,12.6134301270417,351,32.8048780487805,318,29.9589603283174,5,54.1007194244604,133,50.679347826087,133,0.138699094001144,3,0.123288083556572,358,NULL,8.37973692923577,318,9.53556271257863,7
2026,"Air Force",51.1017838405037,209,30.5555555555556,331,64.1114982578397,364,6.77361853832442,320,56.3279857397504,336,37.6404494382022,352,72.7272727272727,208,11.8572927597062,336,41.7837507635919,139,38.8222464558342,160,55.8908045977011,91,54.2222222222222,232,0.0834613266873388,266,0.11823687947373,350,NULL,10.0617266061958,361,6.72327353870229,250
2026,"Akron",59.0536851683349,12,38.4955752212389,12,75.2577319587629,74,8.36363636363636,240,49,65,35.0835322195704,253,72.2316865417376,172,8.098271155596,69,45.1323015476785,65,43.2404540763674,304,57.3721163490471,64,50.6602641056423,132,0.101792893144885,125,0.0881912565608701,99,NULL,6.71306579791698,127,8.16098195040887,63
2026,"Alabama",57.3183213920164,28,35.8090185676393,71,76.530612244898,42,11.3128491620112,73,48.6033519553073,55,33.5058214747736,156,69.7222222222222,46,12.0777891504606,343,53.6527514231499,1,35.0566893424036,51,53.4715025906736,147,46.7015706806283,46,0.0856477631797772,248,0.0852319973390986,76,NULL,4.49027107932812,2,4.07450523864959,365
2026,"Alabama A&M",47.5256769374416,321,35.02722323049,116,73.8127544097693,143,7.69230769230769,279,51.5009380863039,168,35.3996737357259,271,72.0679012345679,163,8.49673202614379,104,33.9704069050555,294,36.5098272781417,89,48.005698005698,287,56.1357702349869,286,0.0917414223619717,197,0.0887820216406178,107,NULL,7.64511853016431,240,7.44782514874071,154
2026,"Alabama St.",46.7770034843206,334,31.7548746518106,288,70.5069124423963,253,11.0481586402266,86,52.7856468366383,229,34.1701534170153,194,73.5019973368842,250,10.9756097560976,301,38.4780278670954,200,40.3716216216216,218,47.5816993464052,293,54.9751243781095,254,0.110458470557612,67,0.105478785409523,286,NULL,7.74114691202934,247,7.69587704704671,123
2026,"Albany",52.8283796740173,141,32.5914149443561,251,65.947242206235,354,11.8801652892562,55,52.6859504132231,224,36.0060514372163,304,73.4939759036145,248,9.39597315436242,178,37.6196172248804,220,40.5770411295273,224,48.9417989417989,266,56.4171122994652,293,0.10191618182057,122,0.10401754639419,277,NULL,8.14278772277748,289,5.62115023443349,345
2026,"Alcorn St.",46.4730290456432,343,33.3333333333333,208,70.7612456747405,244,9.07577019150708,192,58.0349708576187,351,32.9738058551618,118,72.7023319615912,204,11.1203319502075,311,33.6818932305999,302,35.0810810810811,52,46.5968586387435,307,55.6531284302964,273,0.110293499520829,70,0.104913328812495,282,NULL,9.05662069236072,344,7.03905667673581,205
2026,"American",53.3477321814255,115,32.9601990049751,234,75.8064516129032,57,4.36105476673428,362,55.0709939148073,311,35.5172413793103,283,72.2306525037936,171,10.0431965442765,241,46.4739884393064,40,37.037037037037,106,49.5388669301713,253,53.671562082777,217,0.109482893297922,77,0.0894860178097172,117,NULL,6.69895328854866,122,8.24871113888455,56
2026,"Appalachian St.",53.5555555555556,105,30.4062909567497,335,64.5161290322581,362,10.1778656126482,128,47.0355731225296,28,32.1678321678322,73,70.6864564007421,78,8.77777777777778,133,45.8809380637402,47,41.4012738853503,253,47.7591036414566,291,50.8498583569405,140,0.071997410165102,342,0.0771770799611525,28,NULL,7.56231790223373,230,6.78536743282616,241
2026,"Arizona",55.4161162483487,51,36.036036036036,58,73.3934611048478,156,10.7703814510097,97,43.754674644727,2,31.4393939393939,48,71.5254237288136,127,8.3223249669749,86,26.8245529241179,362,37.2005636449037,109,55.4379210779596,102,48.6810551558753,85,0.109249780524994,79,0.0841962594271574,69,NULL,6.73570075417259,129,5.79105979474595,337
2026,"Arizona St.",51.7006802721088,183,33.4242837653479,203,75.3315649867374,70,12.7426160337553,31,52.3206751054852,211,35,249,74.1556534508076,272,9.60884353741497,202,38.3970665269775,201,40.3022670025189,214,52.989449003517,163,55.3333333333333,263,0.0991283357918734,139,0.104706986723884,280,NULL,6.60855571945823,106,8.58253989540029,36
2026,"Arkansas",55.8450704225352,44,38.0681818181818,18,74.7111681643132,95,12.9700690713738,25,54.2594013814275,284,31.4285714285714,47,71.3213213213213,114,6.76056338028169,14,33.1450094161959,314,38.1878557874763,143,52.4033930254477,181,49.4791666666667,104,0.100136502948979,134,0.0663455842583769,2,NULL,5.60434749014861,15,5.85159811471399,335
2026,"Arkansas Pine Bluff",49.7687326549491,264,33.6463223787167,195,75.4916792738275,65,7.8167115902965,269,54.3575920934411,287,33.1825037707391,134,75.7105943152455,338,8.69565217391304,122,37.1511627906977,227,37.3310810810811,110,56.3081009296149,82,53.8181818181818,220,0.0955571740713766,168,0.10721048798252,304,NULL,7.97086671522214,271,6.89876183539694,226
2026,"Arkansas St.",53.61328125,99,32.8537170263789,239,73.3149931224209,160,7.33863837312113,300,50.8399646330681,133,32.9149232914923,115,70.6140350877193,76,10.15625,251,44.8869752421959,70,38.7987012987013,159,55.771567436209,94,51.4180024660912,158,0.0975892061798932,152,0.122099983546006,356,NULL,7.6255751805684,236,5.12910711550136,361
2026,"Army",50.7125890736342,225,32.016632016632,278,71.6942148760331,216,4.75708502024291,360,56.3765182186235,337,35.5524079320113,285,74.8137108792847,307,11.1638954869359,315,53.3259423503326,3,41.6765053128689,264,59.0476190476191,44,53.4653465346535,214,0.0791526298218459,310,0.10391817657592,275,NULL,6.79838538347143,141,7.52678381741479,141
2026,"Auburn",53.4053156146179,112,33.7628865979381,187,74.3502824858757,108,11.6949152542373,57,52.7966101694915,230,36.5384615384615,331,74.6762589928058,301,12.5415282392027,350,39.1919191919192,186,39.7959183673469,199,45.8563535911602,320,50.9911894273128,143,0.106875203649397,92,0.0942760942760943,177,NULL,5.25686977299881,8,5.60443141088302,346
2026,"Austin Peay",53.0075187969925,130,35.2760736196319,101,73.374613003096,158,6.38085742771685,332,53.938185443669,272,33.1884057971015,135,70.863309352518,84,8.7406015037594,128,37.995337995338,215,40.7560543414058,233,56.0453400503778,87,52.4675324675325,184,0.119499870910633,25,0.0929443440416036,161,NULL,6.09793579955495,46,5.90122819311769,331
2026,"BYU",56.2009419152276,42,34.8754448398576,129,74.5504840940526,100,11.9179163378058,52,50.0394632991318,106,35.2941176470588,263,71.2624584717608,111,7.92778649921507,58,39.8205007085498,173,39.1742678828613,173,45.4455445544554,327,54.3383947939262,235,0.101905529414823,123,0.0890113603868251,110,NULL,6.44708451399901,85,6.2807081394442,304
2026,"Ball St.",46.9939879759519,332,31.4241486068111,309,70.9615384615385,237,8.22649572649573,247,52.991452991453,239,34.8091603053435,239,77.2549019607843,359,10.9218436873747,297,39.294403892944,184,41.169076052797,244,53.5714285714286,144,54.1436464088398,229,0.113022434429982,49,0.0805808097324874,40,NULL,8.16273137549872,291,7.37785335862385,167
2026,"Baylor",55.2055993000875,56,34.4919786096257,151,73.2522796352584,162,9.74817221770918,152,52.1527213647441,203,35.5283307810107,284,75.219683655536,321,8.83639545056868,139,39.555790586991,180,34.6602972399151,44,52.9808773903262,165,48.2837528604119,76,0.0921973904432077,193,0.0986836390171017,231,NULL,6.57890926780678,101,6.85689134954509,231
2026,"Bellarmine",60.9884332281809,4,38.1381381381381,15,78.7985865724382,7,5.93713620488941,344,58.0908032596042,352,40.4328018223235,364,73.2773109243697,237,9.14826498422713,157,41.1873840445269,146,50.5469199769718,362,53.3573141486811,149,61.943793911007,353,0.0869462020374893,243,0.0909437285679486,131,NULL,6.39604244873485,81,6.3460733671041,294
2026,"Belmont",60.6372045220966,6,41.025641025641,1,68.6106346483705,308,11.2631578947368,76,48.5263157894737,51,34.2420937840785,197,75.7417102966841,339,9.35251798561151,173,45.703125,50,49.1162292447777,360,61.8790496760259,18,54.4516129032258,240,0.084627524530546,256,0.0969785686512202,215,NULL,8.3712632373459,315,8.92019853159809,22
2026,"Bethune Cookman",51.566265060241,192,33.0798479087453,227,69.6551724137931,280,10.996835443038,88,49.9208860759494,100,32.9073482428115,112,71.5068493150685,126,7.06827309236948,17,29.7007340485601,353,33.1216931216931,20,50.2450980392157,235,47.6702508960573,62,0.0939510577922625,186,0.116427387407636,346,NULL,7.5520467507656,229,6.42823026999691,289
2026,"Binghamton",50.5583756345178,230,32.5,255,75.2961082910322,73,8.03662258392676,258,54.7304170905392,303,35.8044164037855,295,69.4096601073345,34,8.83248730964467,138,30.8771929824561,342,39.2084106369821,177,48.6739469578783,274,48.7581699346405,86,0.075162740755654,328,0.108985974095698,316,NULL,7.89208777934367,262,5.7445809006107,342
2026,"Boise St.",52.713987473904,144,34.3448275862069,158,78.6908077994429,9,5.90951061865189,345,53.2779316712835,246,34.3898573692552,215,70.961887477314,93,9.81210855949896,225,43.0778371954843,112,36.8144690781797,98,49.3368700265252,257,45.088161209068,22,0.067874822225342,352,0.0859422209471956,82,NULL,8.35006805793775,312,7.76409836966142,109
2026,"Boston College",49.1395793499044,281,29.3888166449935,348,65.3061224489796,358,11.5837104072398,61,49.5927601809955,87,31.8696883852691,62,67.0926517571885,3,10.038240917782,240,42.3691460055096,129,38.9839867476532,165,47.4324324324324,296,48.6416558861578,83,0.0717420157115014,343,0.0918297801107218,142,NULL,6.21764136166346,63,7.70030968636782,121
2026,"Boston University",56.8862275449102,36,38.8461538461538,8,73.3928571428571,157,9.57446808510638,161,52.7482269503546,227,36.5758754863813,332,72.7115716753022,205,8.88223552894212,142,43.7710437710438,96,40.6003159557662,225,53.6082474226804,142,49.2588369441277,97,0.0725408478211589,338,0.108346266296987,312,NULL,6.78907934736487,138,5.76606739091263,341
2026,"Bowling Green",51.9145146927872,173,34.4178082191781,155,72.3101265822785,193,10.6029106029106,106,51.5592515592516,171,33.5311572700297,160,72.2039473684211,169,9.79519145146928,222,34.2120679554774,289,41.1980440097799,246,48.469387755102,276,51.8005540166205,167,0.116898997309856,32,0.0895084372707263,118,NULL,7.58131572511617,233,6.70090486671558,253
2026,"Bradley",49.1703056768559,280,35.8247422680412,70,74.0634005763689,126,9.45319740500463,167,51.3438368860056,158,36.3004172461752,319,70.2941176470588,64,8.82096069868996,136,40.3956272774597,162,39.9888765294772,205,50.653983353151,225,54.2331288343558,233,0.109536584551334,75,0.0707980363563501,6,NULL,6.76811416739951,135,8.32656150857703,49
2026,"Brown",50.4357298474946,241,30.3435114503817,338,68.3950617283951,317,11.9592875318066,51,52.1628498727735,204,33.5016835016835,154,75.9152215799615,345,9.3681917211329,175,36.3384188626907,241,43.0434782608696,296,59.4855305466238,39,55.3366174055829,264,0.110003235389276,74,0.112944498367599,338,NULL,8.17671107973764,293,7.70610900320598,119
2026,"Bryant",48.6585365853659,293,29.973474801061,343,76.0259179265659,52,10.7109004739336,103,51.7535545023697,185,36.3327674023769,321,71.1433756805808,105,8.65853658536585,118,47.9034307496823,27,35.8272506082725,73,53.12,158,51.3157894736842,152,0.0898365766979774,217,0.122072054219016,355,NULL,8.0324468577015,281,5.60157478234447,347
2026,"Bucknell",50.376647834275,245,30.6431273644388,328,76.8115942028985,36,5.86481113320079,347,54.0755467196819,277,36.9976359338061,343,75.1914241960184,319,11.4877589453861,328,42.7493261455526,120,45.6803455723542,341,53.9845758354756,134,61.8436406067678,352,0.106574123310291,93,0.111499818085136,331,NULL,7.83633259634491,251,7.254205032045,175
2026,"Buffalo",54.083885209713,86,37.9128137384412,20,73.5562310030395,153,8.36653386454183,239,56.8725099601594,341,35.0756533700138,252,74.4014732965009,291,8.05739514348786,65,45.5201443174985,56,41.998844598498,269,54.4401544401544,127,58.8377723970944,331,0.111043848867854,62,0.097835990191942,224,NULL,6.35933936247623,77,6.70176532814803,252
2026,"Butler",51.8784972022382,177,32.7380952380952,243,71.9406674907293,209,8.00627943485086,260,53.0612244897959,243,33.289817232376,139,71.7948717948718,149,11.9104716227018,338,34.9453978159126,274,37.5490196078431,119,57.1921749136939,67,53.5982814178303,216,0.091466766341989,198,0.0954244629625558,203,NULL,6.37628899980211,80,5.98051933774543,329
2026,"CSUN",52.5969275786394,148,32.4167872648336,261,66.7613636363636,346,8.70406189555126,214,51.7408123791103,181,34.3558282208589,212,75.8321273516643,342,10.0950987564009,246,33.5762876579203,308,48.6083499005964,359,56.627783669141,75,57.8645235361653,313,0.0871968385980319,238,0.107446341400418,307,NULL,6.77738461141101,136,7.72787147764548,114
