"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2026,"Abilene Christian",56.4637482900137,352,23.405472112693,2,29.1215403128761,116,53.4883720930233,365
2026,"Air Force",56.3794983642312,350,15.0694062074362,283,31.2560856864654,212,36.5866957470011,228
2026,"Akron",50.5675954592363,134,18.3402712648974,83,29.8570227081581,152,30.2889576883385,64
2026,"Alabama",49.1836734693878,76,12.6392815566273,362,32.7662721893491,293,32.6530612244898,117
2026,"Alabama A&M",52.0845741512805,220,16.6219673849379,177,29.5162882527147,134,38.5944014294223,272
2026,"Alabama St.",52.1677927927928,221,18.7417241028079,60,31.4990512333966,226,42.286036036036,328
2026,"Albany",53.2228360957643,275,15.8127684164905,235,32.4123273113709,278,35.6660527931246,199
2026,"Alcorn St.",55.027027027027,330,18.0684066288187,97,35.5339805825243,347,39.4054054054054,292
2026,"American",54.4061302681992,314,19.1970004686768,42,29.3922651933702,130,42.0817369093231,323
2026,"Appalachian St.",47.5390851187029,33,13.9851084493364,336,28.9855072463768,103,31.2101910828025,86
2026,"Arizona",45.0211366838891,3,16.7160378472454,172,26.878612716763,30,27.7125410991076,32
2026,"Arizona St.",52.3929471032746,236,18.4953734745876,75,34.9056603773585,338,34.3073047858942,158
2026,"Arkansas",51.5417457305503,191,15.8652484096119,231,31.4691151919866,224,31.5939278937381,95
2026,"Arkansas Pine Bluff",52.6463963963964,248,16.4544792425346,189,34.2492639842983,321,43.5810810810811,341
2026,"Arkansas St.",50.2705627705628,119,14.8880277334907,298,26.8922528940338,34,37.012987012987,235
2026,"Army",55.1062573789847,334,15.4420467995994,258,27.6683937823834,57,39.6103896103896,294
2026,"Auburn",53.5969387755102,288,16.2919517758227,206,32.1109123434705,260,35.4591836734694,192
2026,"Austin Peay",52.2445363260484,227,17.851215284181,109,28.8711288711289,99,32.8411104548139,124
2026,"BYU",51.1761881901104,173,16.4712610809265,187,29.2937399678973,127,28.900624099856,43
2026,"Ball St.",52.6712759270899,251,18.6800968016221,64,31.0382513661202,203,32.0553111250786,104
2026,"Baylor",52.5477707006369,241,16.0766303938659,221,32.2460391425909,269,30.2016985138004,62
2026,"Bellarmine",59.3839953943581,365,15.040693570853,287,34.2436974789916,320,34.2544617156016,156
2026,"Belmont",49.9196572040707,94,17.3829509846527,129,29.1522491349481,121,30.690948044992,76
2026,"Bethune Cookman",49.7354497354497,89,15.8233360492232,234,31.726555652936,239,38.6243386243386,273
2026,"Binghamton",54.3290043290043,309,13.2608549761761,350,29.3993677555321,131,34.5701917130489,166
2026,"Boise St.",52.6546091015169,249,14.5515805921956,318,23.5955056179775,3,32.147024504084,106
2026,"Boston College",48.8956377691883,64,14.874511257518,299,28.5968028419183,91,34.5665378244064,165
2026,"Boston University",53.6071616640337,289,13.0201521730285,354,27.996340347667,66,30.4897314375987,72
2026,"Bowling Green",51.039119804401,165,18.3908045977011,81,26.8806419257773,32,37.1638141809291,241
2026,"Bradley",52.5862068965517,244,19.2802199637104,41,28.2146160962072,78,37.8197997775306,258
2026,"Brown",51.3405797101449,180,18.7064325421336,63,30.0357568533969,159,37.6086956521739,253
2026,"Bryant",52.7372262773723,254,14.5852324521422,316,31.0020876826722,202,33.5158150851582,141
2026,"Bucknell",54.7246220302376,323,17.9116173630741,105,31.2734082397004,214,35.2591792656587,185
2026,"Buffalo",55.0837666088966,333,17.8061502149334,113,31.1408016443988,207,31.369150779896,88
2026,"Butler",51.8872549019608,209,15.1271959719443,278,30.0945829750645,164,24.8529411764706,7
2026,"CSUN",51.6401590457256,193,16.4475553374487,190,26.6666666666667,27,34.3439363817097,161
